"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","667.031"
"Elapsed Time","Any = ForcepToReference","s","667.031"
"Path Length","Any = DriverToReference","mm","14119.8"
"Path Length","Any = ForcepToReference","mm","24411.3"
"Elapsed Time","Any = DriverTipToDriver","s","667.031"
"Path Length","Any = DriverTipToDriver","mm","19057.8"
"Elapsed Time","Any = ForcepTipToForcep","s","667.031"
"Path Length","Any = ForcepTipToForcep","mm","29819.9"
"Average Velocity","Any = DriverTipToDriver","mm/s","35.1824"
"Average Velocity","Any = ForcepTipToForcep","mm/s","44.3206"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.00842003543227564	-0.044433608426377225"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","942912"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","544833"
"Path Inefficiency","Any = DriverTipToDriver","%","7157.03"
"Path Inefficiency","Any = ForcepTipToForcep","%","11378.7"
"Rotational Actions","Any = DriverTipToDriver","count","70"
"Rotational Actions","Any = ForcepTipToForcep","count","134"
"Rotation Total","Any = DriverTipToDriver","deg","12752.9"
"Rotation Total","Any = ForcepTipToForcep","deg","33135.9"
"Translational Actions","Any = DriverTipToDriver","count","95"
"Translational Actions","Any = ForcepTipToForcep","count","147"
