"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","500.78"
"Elapsed Time","Any = ForcepToReference","s","500.78"
"Path Length","Any = DriverToReference","mm","3170.66"
"Path Length","Any = ForcepToReference","mm","12551.5"
"Elapsed Time","Any = DriverTipToDriver","s","500.78"
"Path Length","Any = DriverTipToDriver","mm","4018.04"
"Elapsed Time","Any = ForcepTipToForcep","s","500.78"
"Path Length","Any = ForcepTipToForcep","mm","13844.7"
"Average Velocity","Any = DriverTipToDriver","mm/s","24.3564"
"Average Velocity","Any = ForcepTipToForcep","mm/s","67.5559"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","-0.007699066015938279	-0.050270374614924174"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","266043"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","214783"
"Path Inefficiency","Any = DriverTipToDriver","%","1723.35"
"Path Inefficiency","Any = ForcepTipToForcep","%","11065.1"
"Rotational Actions","Any = DriverTipToDriver","count","13"
"Rotational Actions","Any = ForcepTipToForcep","count","58"
"Rotation Total","Any = DriverTipToDriver","deg","3193.84"
"Rotation Total","Any = ForcepTipToForcep","deg","14066"
"Translational Actions","Any = DriverTipToDriver","count","19"
"Translational Actions","Any = ForcepTipToForcep","count","65"
