"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","369.299"
"Elapsed Time","Any = ForcepToReference","s","369.299"
"Path Length","Any = DriverToReference","mm","17452.4"
"Path Length","Any = ForcepToReference","mm","17343.6"
"Elapsed Time","Any = DriverTipToDriver","s","369.299"
"Path Length","Any = DriverTipToDriver","mm","24244.3"
"Elapsed Time","Any = ForcepTipToForcep","s","369.299"
"Path Length","Any = ForcepTipToForcep","mm","18279.6"
"Average Velocity","Any = DriverTipToDriver","mm/s","75.7732"
"Average Velocity","Any = ForcepTipToForcep","mm/s","51.1259"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.013095257902404022	-0.056863816279284427"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","588469"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","359249"
"Path Inefficiency","Any = DriverTipToDriver","%","8584.69"
"Path Inefficiency","Any = ForcepTipToForcep","%","8948.74"
"Rotational Actions","Any = DriverTipToDriver","count","77"
"Rotational Actions","Any = ForcepTipToForcep","count","63"
"Rotation Total","Any = DriverTipToDriver","deg","16440.7"
"Rotation Total","Any = ForcepTipToForcep","deg","16019.5"
"Translational Actions","Any = DriverTipToDriver","count","78"
"Translational Actions","Any = ForcepTipToForcep","count","69"
