"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","492.666"
"Elapsed Time","Any = ForcepToReference","s","492.666"
"Path Length","Any = DriverToReference","mm","17692.4"
"Path Length","Any = ForcepToReference","mm","16674.8"
"Elapsed Time","Any = DriverTipToDriver","s","492.666"
"Path Length","Any = DriverTipToDriver","mm","26773.8"
"Elapsed Time","Any = ForcepTipToForcep","s","492.666"
"Path Length","Any = ForcepTipToForcep","mm","16367.2"
"Average Velocity","Any = DriverTipToDriver","mm/s","62.2049"
"Average Velocity","Any = ForcepTipToForcep","mm/s","33.4191"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.027156375935155037	-0.04902679292619378"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","831128"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","491232"
"Path Inefficiency","Any = DriverTipToDriver","%","8330.7"
"Path Inefficiency","Any = ForcepTipToForcep","%","13591.2"
"Rotational Actions","Any = DriverTipToDriver","count","112"
"Rotational Actions","Any = ForcepTipToForcep","count","70"
"Rotation Total","Any = DriverTipToDriver","deg","25209.6"
"Rotation Total","Any = ForcepTipToForcep","deg","14505"
"Translational Actions","Any = DriverTipToDriver","count","107"
"Translational Actions","Any = ForcepTipToForcep","count","103"
