"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","498.616"
"Elapsed Time","Any = ForcepToReference","s","498.616"
"Path Length","Any = DriverToReference","mm","5514.73"
"Path Length","Any = ForcepToReference","mm","16921.9"
"Elapsed Time","Any = DriverTipToDriver","s","498.616"
"Path Length","Any = DriverTipToDriver","mm","6635.69"
"Elapsed Time","Any = ForcepTipToForcep","s","498.616"
"Path Length","Any = ForcepTipToForcep","mm","24301.5"
"Average Velocity","Any = DriverTipToDriver","mm/s","14.6638"
"Average Velocity","Any = ForcepTipToForcep","mm/s","50.3795"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.07329495157352602	-0.031040441257292658"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","451841"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","610990"
"Path Inefficiency","Any = DriverTipToDriver","%","2738.42"
"Path Inefficiency","Any = ForcepTipToForcep","%","18253.1"
"Rotational Actions","Any = DriverTipToDriver","count","23"
"Rotational Actions","Any = ForcepTipToForcep","count","101"
"Rotation Total","Any = DriverTipToDriver","deg","5540.21"
"Rotation Total","Any = ForcepTipToForcep","deg","28299.5"
"Translational Actions","Any = DriverTipToDriver","count","26"
"Translational Actions","Any = ForcepTipToForcep","count","155"
