"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","469.75"
"Elapsed Time","Any = ForcepToReference","s","469.75"
"Path Length","Any = DriverToReference","mm","7228.75"
"Path Length","Any = ForcepToReference","mm","15168.2"
"Elapsed Time","Any = DriverTipToDriver","s","469.75"
"Path Length","Any = DriverTipToDriver","mm","8505.61"
"Elapsed Time","Any = ForcepTipToForcep","s","469.75"
"Path Length","Any = ForcepTipToForcep","mm","17259.5"
"Average Velocity","Any = DriverTipToDriver","mm/s","39.8018"
"Average Velocity","Any = ForcepTipToForcep","mm/s","69.9602"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.06601143779932256	-0.04620429860207635"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","584994"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","333160"
"Path Inefficiency","Any = DriverTipToDriver","%","3558.51"
"Path Inefficiency","Any = ForcepTipToForcep","%","9916.99"
"Rotational Actions","Any = DriverTipToDriver","count","15"
"Rotational Actions","Any = ForcepTipToForcep","count","67"
"Rotation Total","Any = DriverTipToDriver","deg","3639.23"
"Rotation Total","Any = ForcepTipToForcep","deg","17615.8"
"Translational Actions","Any = DriverTipToDriver","count","21"
"Translational Actions","Any = ForcepTipToForcep","count","71"
