"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","650.467"
"Elapsed Time","Any = ForcepToReference","s","650.467"
"Path Length","Any = DriverToReference","mm","16692"
"Path Length","Any = ForcepToReference","mm","23919.8"
"Elapsed Time","Any = DriverTipToDriver","s","650.467"
"Path Length","Any = DriverTipToDriver","mm","31428.5"
"Elapsed Time","Any = ForcepTipToForcep","s","650.467"
"Path Length","Any = ForcepTipToForcep","mm","33757"
"Average Velocity","Any = DriverTipToDriver","mm/s","75.267"
"Average Velocity","Any = ForcepTipToForcep","mm/s","68.4475"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.07003631514590127	-0.08387674728849746"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","767272"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","597846"
"Path Inefficiency","Any = DriverTipToDriver","%","13171.2"
"Path Inefficiency","Any = ForcepTipToForcep","%","23332.7"
"Rotational Actions","Any = DriverTipToDriver","count","110"
"Rotational Actions","Any = ForcepTipToForcep","count","146"
"Rotation Total","Any = DriverTipToDriver","deg","24370.6"
"Rotation Total","Any = ForcepTipToForcep","deg","46652"
"Translational Actions","Any = DriverTipToDriver","count","146"
"Translational Actions","Any = ForcepTipToForcep","count","155"
