"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","381.224"
"Elapsed Time","Any = ForcepToReference","s","381.224"
"Path Length","Any = DriverToReference","mm","15291"
"Path Length","Any = ForcepToReference","mm","18459.2"
"Elapsed Time","Any = DriverTipToDriver","s","381.224"
"Path Length","Any = DriverTipToDriver","mm","18344.1"
"Elapsed Time","Any = ForcepTipToForcep","s","381.224"
"Path Length","Any = ForcepTipToForcep","mm","24420.8"
"Average Velocity","Any = DriverTipToDriver","mm/s","62.6958"
"Average Velocity","Any = ForcepTipToForcep","mm/s","81.1343"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.06772988908089399	-0.08661001192779601"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","466336"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","599847"
"Path Inefficiency","Any = DriverTipToDriver","%","13548.1"
"Path Inefficiency","Any = ForcepTipToForcep","%","31998.6"
"Rotational Actions","Any = DriverTipToDriver","count","86"
"Rotational Actions","Any = ForcepTipToForcep","count","95"
"Rotation Total","Any = DriverTipToDriver","deg","10696.6"
"Rotation Total","Any = ForcepTipToForcep","deg","18013.9"
"Translational Actions","Any = DriverTipToDriver","count","83"
"Translational Actions","Any = ForcepTipToForcep","count","130"
