"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","269.776"
"Elapsed Time","Any = ForcepToReference","s","269.776"
"Path Length","Any = DriverToReference","mm","7525.15"
"Path Length","Any = ForcepToReference","mm","17646.2"
"Elapsed Time","Any = DriverTipToDriver","s","269.776"
"Path Length","Any = DriverTipToDriver","mm","10774.6"
"Elapsed Time","Any = ForcepTipToForcep","s","269.776"
"Path Length","Any = ForcepTipToForcep","mm","19202.4"
"Average Velocity","Any = DriverTipToDriver","mm/s","44.8537"
"Average Velocity","Any = ForcepTipToForcep","mm/s","79.4592"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.0881999708069574	-0.06821966604054171"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","411658"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","354856"
"Path Inefficiency","Any = DriverTipToDriver","%","3936.57"
"Path Inefficiency","Any = ForcepTipToForcep","%","6288.91"
"Rotational Actions","Any = DriverTipToDriver","count","48"
"Rotational Actions","Any = ForcepTipToForcep","count","69"
"Rotation Total","Any = DriverTipToDriver","deg","9856.25"
"Rotation Total","Any = ForcepTipToForcep","deg","16453.5"
"Translational Actions","Any = DriverTipToDriver","count","71"
"Translational Actions","Any = ForcepTipToForcep","count","90"
