"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","840.982"
"Elapsed Time","Any = ForcepToReference","s","840.982"
"Path Length","Any = DriverToReference","mm","24201.1"
"Path Length","Any = ForcepToReference","mm","35353.3"
"Elapsed Time","Any = DriverTipToDriver","s","840.982"
"Path Length","Any = DriverTipToDriver","mm","36259.5"
"Elapsed Time","Any = ForcepTipToForcep","s","840.982"
"Path Length","Any = ForcepTipToForcep","mm","48295.9"
"Average Velocity","Any = DriverTipToDriver","mm/s","49.8139"
"Average Velocity","Any = ForcepTipToForcep","mm/s","67.1061"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.060931268200498157	-0.05769461654328444"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","929634"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","788543"
"Path Inefficiency","Any = DriverTipToDriver","%","19824.9"
"Path Inefficiency","Any = ForcepTipToForcep","%","22594.7"
"Rotational Actions","Any = DriverTipToDriver","count","128"
"Rotational Actions","Any = ForcepTipToForcep","count","192"
"Rotation Total","Any = DriverTipToDriver","deg","28604.3"
"Rotation Total","Any = ForcepTipToForcep","deg","36104.4"
"Translational Actions","Any = DriverTipToDriver","count","155"
"Translational Actions","Any = ForcepTipToForcep","count","184"
