"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","252.833"
"Elapsed Time","Any = ForcepToReference","s","252.833"
"Path Length","Any = DriverToReference","mm","14740.7"
"Path Length","Any = ForcepToReference","mm","8368.27"
"Elapsed Time","Any = DriverTipToDriver","s","252.833"
"Path Length","Any = DriverTipToDriver","mm","17482.5"
"Elapsed Time","Any = ForcepTipToForcep","s","252.833"
"Path Length","Any = ForcepTipToForcep","mm","6972.17"
"Average Velocity","Any = DriverTipToDriver","mm/s","72.0182"
"Average Velocity","Any = ForcepTipToForcep","mm/s","26.9635"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","395831"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","245904"
"Path Inefficiency","Any = DriverTipToDriver","%","3906.76"
"Path Inefficiency","Any = ForcepTipToForcep","%","4508.45"
"Rotational Actions","Any = DriverTipToDriver","count","81"
"Rotational Actions","Any = ForcepTipToForcep","count","30"
"Rotation Total","Any = DriverTipToDriver","deg","9924.25"
"Rotation Total","Any = ForcepTipToForcep","deg","4986.85"
"Translational Actions","Any = DriverTipToDriver","count","90"
"Translational Actions","Any = ForcepTipToForcep","count","54"
"Bimanual Dexterity: Translational & Rotational","LeftTool = DriverTipToDriver, RightTool = ForcepTipToForcep","rho","0.007611368700509219	-0.0661481930889172"
