"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","566.847"
"Elapsed Time","Any = ForcepToReference","s","566.847"
"Path Length","Any = DriverToReference","mm","20369.7"
"Path Length","Any = ForcepToReference","mm","18779.1"
"Elapsed Time","Any = DriverTipToDriver","s","566.847"
"Path Length","Any = DriverTipToDriver","mm","26823.7"
"Elapsed Time","Any = ForcepTipToForcep","s","566.847"
"Path Length","Any = ForcepTipToForcep","mm","16973.1"
"Average Velocity","Any = DriverTipToDriver","mm/s","54.3813"
"Average Velocity","Any = ForcepTipToForcep","mm/s","29.5102"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.017869917660290644	-0.045941240134978405"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","728619"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","341528"
"Path Inefficiency","Any = DriverTipToDriver","%","16029.9"
"Path Inefficiency","Any = ForcepTipToForcep","%","6489.29"
"Rotational Actions","Any = DriverTipToDriver","count","105"
"Rotational Actions","Any = ForcepTipToForcep","count","80"
"Rotation Total","Any = DriverTipToDriver","deg","19066"
"Rotation Total","Any = ForcepTipToForcep","deg","18593.9"
"Translational Actions","Any = DriverTipToDriver","count","160"
"Translational Actions","Any = ForcepTipToForcep","count","92"
