"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","466.472"
"Elapsed Time","Any = ForcepToReference","s","466.472"
"Path Length","Any = DriverToReference","mm","15234.2"
"Path Length","Any = ForcepToReference","mm","16266"
"Elapsed Time","Any = DriverTipToDriver","s","466.472"
"Path Length","Any = DriverTipToDriver","mm","24236.5"
"Elapsed Time","Any = ForcepTipToForcep","s","466.472"
"Path Length","Any = ForcepTipToForcep","mm","22609.4"
"Average Velocity","Any = DriverTipToDriver","mm/s","75.1099"
"Average Velocity","Any = ForcepTipToForcep","mm/s","60.9388"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.10377623827118856	-0.07168857694946279"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","622696"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","393845"
"Path Inefficiency","Any = DriverTipToDriver","%","5648.22"
"Path Inefficiency","Any = ForcepTipToForcep","%","17101.8"
"Rotational Actions","Any = DriverTipToDriver","count","81"
"Rotational Actions","Any = ForcepTipToForcep","count","97"
"Rotation Total","Any = DriverTipToDriver","deg","14704.3"
"Rotation Total","Any = ForcepTipToForcep","deg","27326.3"
"Translational Actions","Any = DriverTipToDriver","count","93"
"Translational Actions","Any = ForcepTipToForcep","count","88"
