"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","725.076"
"Elapsed Time","Any = ForcepToReference","s","725.076"
"Path Length","Any = DriverToReference","mm","14782"
"Path Length","Any = ForcepToReference","mm","20609.1"
"Elapsed Time","Any = DriverTipToDriver","s","725.076"
"Path Length","Any = DriverTipToDriver","mm","19546.3"
"Elapsed Time","Any = ForcepTipToForcep","s","725.076"
"Path Length","Any = ForcepTipToForcep","mm","28489.4"
"Average Velocity","Any = DriverTipToDriver","mm/s","32.5189"
"Average Velocity","Any = ForcepTipToForcep","mm/s","41.4969"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.014813534417158984	-0.0357682314478768"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","912104"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","521452"
"Path Inefficiency","Any = DriverTipToDriver","%","2818.86"
"Path Inefficiency","Any = ForcepTipToForcep","%","8569.1"
"Rotational Actions","Any = DriverTipToDriver","count","70"
"Rotational Actions","Any = ForcepTipToForcep","count","136"
"Rotation Total","Any = DriverTipToDriver","deg","13461.2"
"Rotation Total","Any = ForcepTipToForcep","deg","37931.2"
"Translational Actions","Any = DriverTipToDriver","count","84"
"Translational Actions","Any = ForcepTipToForcep","count","172"
