"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","352.034"
"Elapsed Time","Any = ForcepToReference","s","352.034"
"Path Length","Any = DriverToReference","mm","17373.9"
"Path Length","Any = ForcepToReference","mm","12651.9"
"Elapsed Time","Any = DriverTipToDriver","s","352.034"
"Path Length","Any = DriverTipToDriver","mm","20747.8"
"Elapsed Time","Any = ForcepTipToForcep","s","352.034"
"Path Length","Any = ForcepTipToForcep","mm","11411.6"
"Average Velocity","Any = DriverTipToDriver","mm/s","60.079"
"Average Velocity","Any = ForcepTipToForcep","mm/s","33.2223"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","429348"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","361411"
"Path Inefficiency","Any = DriverTipToDriver","%","8983.63"
"Path Inefficiency","Any = ForcepTipToForcep","%","2219.65"
"Rotational Actions","Any = DriverTipToDriver","count","128"
"Rotational Actions","Any = ForcepTipToForcep","count","52"
"Rotation Total","Any = DriverTipToDriver","deg","15504.4"
"Rotation Total","Any = ForcepTipToForcep","deg","11705.5"
"Translational Actions","Any = DriverTipToDriver","count","103"
"Translational Actions","Any = ForcepTipToForcep","count","98"
"Bimanual Dexterity: Translational & Rotational","LeftTool = DriverTipToDriver, RightTool = ForcepTipToForcep","rho","0.01596717374641437	-0.06518102009841092"
