"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","309.552"
"Elapsed Time","Any = ForcepToReference","s","309.552"
"Path Length","Any = DriverToReference","mm","2795.96"
"Path Length","Any = ForcepToReference","mm","10384.6"
"Elapsed Time","Any = DriverTipToDriver","s","309.552"
"Path Length","Any = DriverTipToDriver","mm","3519.75"
"Elapsed Time","Any = ForcepTipToForcep","s","309.552"
"Path Length","Any = ForcepTipToForcep","mm","14383.2"
"Average Velocity","Any = DriverTipToDriver","mm/s","12.4252"
"Average Velocity","Any = ForcepTipToForcep","mm/s","46.9661"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.015923664910158685	-0.02720737859588557"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","418640"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","243423"
"Path Inefficiency","Any = DriverTipToDriver","%","1610.79"
"Path Inefficiency","Any = ForcepTipToForcep","%","7985.17"
"Rotational Actions","Any = DriverTipToDriver","count","8"
"Rotational Actions","Any = ForcepTipToForcep","count","79"
"Rotation Total","Any = DriverTipToDriver","deg","2666.59"
"Rotation Total","Any = ForcepTipToForcep","deg","18111.8"
"Translational Actions","Any = DriverTipToDriver","count","13"
"Translational Actions","Any = ForcepTipToForcep","count","78"
