"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","344.372"
"Elapsed Time","Any = ForcepToReference","s","344.372"
"Path Length","Any = DriverToReference","mm","6793.59"
"Path Length","Any = ForcepToReference","mm","19118.7"
"Elapsed Time","Any = DriverTipToDriver","s","344.372"
"Path Length","Any = DriverTipToDriver","mm","9281.07"
"Elapsed Time","Any = ForcepTipToForcep","s","344.372"
"Path Length","Any = ForcepTipToForcep","mm","18237.1"
"Average Velocity","Any = DriverTipToDriver","mm/s","39.8895"
"Average Velocity","Any = ForcepTipToForcep","mm/s","67.3019"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.1035084138901366	-0.05612630159212418"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","560393"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","384496"
"Path Inefficiency","Any = DriverTipToDriver","%","2944.79"
"Path Inefficiency","Any = ForcepTipToForcep","%","13081.2"
"Rotational Actions","Any = DriverTipToDriver","count","31"
"Rotational Actions","Any = ForcepTipToForcep","count","70"
"Rotation Total","Any = DriverTipToDriver","deg","6546.4"
"Rotation Total","Any = ForcepTipToForcep","deg","13962.3"
"Translational Actions","Any = DriverTipToDriver","count","40"
"Translational Actions","Any = ForcepTipToForcep","count","95"
