"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","348.192"
"Elapsed Time","Any = ForcepToReference","s","348.192"
"Path Length","Any = DriverToReference","mm","4388.83"
"Path Length","Any = ForcepToReference","mm","16251.3"
"Elapsed Time","Any = DriverTipToDriver","s","348.192"
"Path Length","Any = DriverTipToDriver","mm","5658.11"
"Elapsed Time","Any = ForcepTipToForcep","s","348.192"
"Path Length","Any = ForcepTipToForcep","mm","22841.6"
"Average Velocity","Any = DriverTipToDriver","mm/s","22.109"
"Average Velocity","Any = ForcepTipToForcep","mm/s","88.8539"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.0630008489448532	-0.05573081193291102"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","388018"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","674135"
"Path Inefficiency","Any = DriverTipToDriver","%","2142.15"
"Path Inefficiency","Any = ForcepTipToForcep","%","15041.6"
"Rotational Actions","Any = DriverTipToDriver","count","25"
"Rotational Actions","Any = ForcepTipToForcep","count","96"
"Rotation Total","Any = DriverTipToDriver","deg","5243.78"
"Rotation Total","Any = ForcepTipToForcep","deg","24757.1"
"Translational Actions","Any = DriverTipToDriver","count","30"
"Translational Actions","Any = ForcepTipToForcep","count","111"
