"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","448.634"
"Elapsed Time","Any = ForcepToReference","s","448.634"
"Path Length","Any = DriverToReference","mm","18384.8"
"Path Length","Any = ForcepToReference","mm","20610"
"Elapsed Time","Any = DriverTipToDriver","s","448.634"
"Path Length","Any = DriverTipToDriver","mm","23884.8"
"Elapsed Time","Any = ForcepTipToForcep","s","448.634"
"Path Length","Any = ForcepTipToForcep","mm","21665.4"
"Average Velocity","Any = DriverTipToDriver","mm/s","57.1819"
"Average Velocity","Any = ForcepTipToForcep","mm/s","44.8679"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.024002085560506405	-0.05220401024126343"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","1.17512e+06"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","447894"
"Path Inefficiency","Any = DriverTipToDriver","%","10930.8"
"Path Inefficiency","Any = ForcepTipToForcep","%","3922.45"
"Rotational Actions","Any = DriverTipToDriver","count","58"
"Rotational Actions","Any = ForcepTipToForcep","count","102"
"Rotation Total","Any = DriverTipToDriver","deg","15209.4"
"Rotation Total","Any = ForcepTipToForcep","deg","20676.4"
"Translational Actions","Any = DriverTipToDriver","count","64"
"Translational Actions","Any = ForcepTipToForcep","count","89"
