"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","674.676"
"Elapsed Time","Any = ForcepToReference","s","674.676"
"Path Length","Any = DriverToReference","mm","24384.7"
"Path Length","Any = ForcepToReference","mm","23884.8"
"Elapsed Time","Any = DriverTipToDriver","s","674.676"
"Path Length","Any = DriverTipToDriver","mm","38249.2"
"Elapsed Time","Any = ForcepTipToForcep","s","674.676"
"Path Length","Any = ForcepTipToForcep","mm","26570.9"
"Average Velocity","Any = DriverTipToDriver","mm/s","80.1868"
"Average Velocity","Any = ForcepTipToForcep","mm/s","52.3161"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.058201841693597454	-0.07679741709964472"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","737436"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","468085"
"Path Inefficiency","Any = DriverTipToDriver","%","7570.29"
"Path Inefficiency","Any = ForcepTipToForcep","%","23106.2"
"Rotational Actions","Any = DriverTipToDriver","count","119"
"Rotational Actions","Any = ForcepTipToForcep","count","138"
"Rotation Total","Any = DriverTipToDriver","deg","24233.8"
"Rotation Total","Any = ForcepTipToForcep","deg","36149.9"
"Translational Actions","Any = DriverTipToDriver","count","151"
"Translational Actions","Any = ForcepTipToForcep","count","163"
