"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","193.987"
"Elapsed Time","Any = ForcepToReference","s","193.987"
"Path Length","Any = DriverToReference","mm","5487.13"
"Path Length","Any = ForcepToReference","mm","7640.39"
"Elapsed Time","Any = DriverTipToDriver","s","193.987"
"Path Length","Any = DriverTipToDriver","mm","7875.45"
"Elapsed Time","Any = ForcepTipToForcep","s","193.987"
"Path Length","Any = ForcepTipToForcep","mm","11045.7"
"Average Velocity","Any = DriverTipToDriver","mm/s","46.2251"
"Average Velocity","Any = ForcepTipToForcep","mm/s","55.2937"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.009935772959844541	-0.06804982484800026"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","314828"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","291694"
"Path Inefficiency","Any = DriverTipToDriver","%","3251.92"
"Path Inefficiency","Any = ForcepTipToForcep","%","5709.31"
"Rotational Actions","Any = DriverTipToDriver","count","43"
"Rotational Actions","Any = ForcepTipToForcep","count","42"
"Rotation Total","Any = DriverTipToDriver","deg","7854.34"
"Rotation Total","Any = ForcepTipToForcep","deg","12488.9"
"Translational Actions","Any = DriverTipToDriver","count","40"
"Translational Actions","Any = ForcepTipToForcep","count","39"
