"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","434.247"
"Elapsed Time","Any = ForcepToReference","s","434.247"
"Path Length","Any = DriverToReference","mm","15277.3"
"Path Length","Any = ForcepToReference","mm","12990.5"
"Elapsed Time","Any = DriverTipToDriver","s","434.247"
"Path Length","Any = DriverTipToDriver","mm","18067.2"
"Elapsed Time","Any = ForcepTipToForcep","s","434.247"
"Path Length","Any = ForcepTipToForcep","mm","16258.1"
"Average Velocity","Any = DriverTipToDriver","mm/s","48.2647"
"Average Velocity","Any = ForcepTipToForcep","mm/s","38.8968"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.0027371564606101305	-0.04163468689275887"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","583071"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","347520"
"Path Inefficiency","Any = DriverTipToDriver","%","3043.81"
"Path Inefficiency","Any = ForcepTipToForcep","%","7208.97"
"Rotational Actions","Any = DriverTipToDriver","count","52"
"Rotational Actions","Any = ForcepTipToForcep","count","72"
"Rotation Total","Any = DriverTipToDriver","deg","9470.04"
"Rotation Total","Any = ForcepTipToForcep","deg","15026.4"
"Translational Actions","Any = DriverTipToDriver","count","67"
"Translational Actions","Any = ForcepTipToForcep","count","109"
