"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","239.93"
"Elapsed Time","Any = ForcepToReference","s","239.93"
"Path Length","Any = DriverToReference","mm","6721.8"
"Path Length","Any = ForcepToReference","mm","8351.1"
"Elapsed Time","Any = DriverTipToDriver","s","239.93"
"Path Length","Any = DriverTipToDriver","mm","10228.4"
"Elapsed Time","Any = ForcepTipToForcep","s","239.93"
"Path Length","Any = ForcepTipToForcep","mm","12255.6"
"Average Velocity","Any = DriverTipToDriver","mm/s","51.8348"
"Average Velocity","Any = ForcepTipToForcep","mm/s","49.2996"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.05903333146835533	-0.05901921726575516"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","427870"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","318748"
"Path Inefficiency","Any = DriverTipToDriver","%","3477.42"
"Path Inefficiency","Any = ForcepTipToForcep","%","107664"
"Rotational Actions","Any = DriverTipToDriver","count","37"
"Rotational Actions","Any = ForcepTipToForcep","count","68"
"Rotation Total","Any = DriverTipToDriver","deg","8432.7"
"Rotation Total","Any = ForcepTipToForcep","deg","17967.3"
"Translational Actions","Any = DriverTipToDriver","count","38"
"Translational Actions","Any = ForcepTipToForcep","count","76"
