"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","150.317"
"Elapsed Time","Any = ForcepToReference","s","150.317"
"Path Length","Any = DriverToReference","mm","5202.28"
"Path Length","Any = ForcepToReference","mm","2915.04"
"Elapsed Time","Any = DriverTipToDriver","s","150.317"
"Path Length","Any = DriverTipToDriver","mm","6524.35"
"Elapsed Time","Any = ForcepTipToForcep","s","150.317"
"Path Length","Any = ForcepTipToForcep","mm","3261.37"
"Average Velocity","Any = DriverTipToDriver","mm/s","108.331"
"Average Velocity","Any = ForcepTipToForcep","mm/s","44.6625"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.019223406167861577	-0.06625343399167706"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","211986"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","206034"
"Path Inefficiency","Any = DriverTipToDriver","%","16090.9"
"Path Inefficiency","Any = ForcepTipToForcep","%","394968"
"Rotational Actions","Any = DriverTipToDriver","count","26"
"Rotational Actions","Any = ForcepTipToForcep","count","10"
"Rotation Total","Any = DriverTipToDriver","deg","3668.37"
"Rotation Total","Any = ForcepTipToForcep","deg","2944.77"
"Translational Actions","Any = DriverTipToDriver","count","20"
"Translational Actions","Any = ForcepTipToForcep","count","13"
