"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","227.622"
"Elapsed Time","Any = ForcepToReference","s","227.622"
"Path Length","Any = DriverToReference","mm","6861.07"
"Path Length","Any = ForcepToReference","mm","7762.26"
"Elapsed Time","Any = DriverTipToDriver","s","227.622"
"Path Length","Any = DriverTipToDriver","mm","9558.81"
"Elapsed Time","Any = ForcepTipToForcep","s","227.622"
"Path Length","Any = ForcepTipToForcep","mm","14645.2"
"Average Velocity","Any = DriverTipToDriver","mm/s","50.1116"
"Average Velocity","Any = ForcepTipToForcep","mm/s","58.9505"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.002287746305594581	-0.05792075227499725"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","413625"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","352646"
"Path Inefficiency","Any = DriverTipToDriver","%","8249.1"
"Path Inefficiency","Any = ForcepTipToForcep","%","6070.47"
"Rotational Actions","Any = DriverTipToDriver","count","36"
"Rotational Actions","Any = ForcepTipToForcep","count","55"
"Rotation Total","Any = DriverTipToDriver","deg","7928.46"
"Rotation Total","Any = ForcepTipToForcep","deg","14887.1"
"Translational Actions","Any = DriverTipToDriver","count","40"
"Translational Actions","Any = ForcepTipToForcep","count","57"
