"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","489.908"
"Elapsed Time","Any = ForcepToReference","s","489.908"
"Path Length","Any = DriverToReference","mm","16510.7"
"Path Length","Any = ForcepToReference","mm","25168.4"
"Elapsed Time","Any = DriverTipToDriver","s","489.908"
"Path Length","Any = DriverTipToDriver","mm","21959.8"
"Elapsed Time","Any = ForcepTipToForcep","s","489.908"
"Path Length","Any = ForcepTipToForcep","mm","30868.4"
"Average Velocity","Any = DriverTipToDriver","mm/s","60.44"
"Average Velocity","Any = ForcepTipToForcep","mm/s","77.5768"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.0456625350099942	-0.07141796490417895"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","774874"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","478691"
"Path Inefficiency","Any = DriverTipToDriver","%","12507.9"
"Path Inefficiency","Any = ForcepTipToForcep","%","13972.7"
"Rotational Actions","Any = DriverTipToDriver","count","94"
"Rotational Actions","Any = ForcepTipToForcep","count","127"
"Rotation Total","Any = DriverTipToDriver","deg","15391.1"
"Rotation Total","Any = ForcepTipToForcep","deg","28167.9"
"Translational Actions","Any = DriverTipToDriver","count","106"
"Translational Actions","Any = ForcepTipToForcep","count","155"
