"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","685.541"
"Elapsed Time","Any = ForcepToReference","s","685.541"
"Path Length","Any = DriverToReference","mm","5781.63"
"Path Length","Any = ForcepToReference","mm","32528.8"
"Elapsed Time","Any = DriverTipToDriver","s","685.541"
"Path Length","Any = DriverTipToDriver","mm","7719.09"
"Elapsed Time","Any = ForcepTipToForcep","s","685.541"
"Path Length","Any = ForcepTipToForcep","mm","40620.2"
"Average Velocity","Any = DriverTipToDriver","mm/s","12.2387"
"Average Velocity","Any = ForcepTipToForcep","mm/s","66.0504"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.04684478303632434	-0.031698136970366365"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","445418"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","478195"
"Path Inefficiency","Any = DriverTipToDriver","%","1834.05"
"Path Inefficiency","Any = ForcepTipToForcep","%","19775.2"
"Rotational Actions","Any = DriverTipToDriver","count","29"
"Rotational Actions","Any = ForcepTipToForcep","count","175"
"Rotation Total","Any = DriverTipToDriver","deg","5825.13"
"Rotation Total","Any = ForcepTipToForcep","deg","44028.4"
"Translational Actions","Any = DriverTipToDriver","count","33"
"Translational Actions","Any = ForcepTipToForcep","count","192"
