"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","391.032"
"Elapsed Time","Any = ForcepToReference","s","391.032"
"Path Length","Any = DriverToReference","mm","2193.18"
"Path Length","Any = ForcepToReference","mm","7681.46"
"Elapsed Time","Any = DriverTipToDriver","s","391.032"
"Path Length","Any = DriverTipToDriver","mm","3144.87"
"Elapsed Time","Any = ForcepTipToForcep","s","391.032"
"Path Length","Any = ForcepTipToForcep","mm","7488.53"
"Average Velocity","Any = DriverTipToDriver","mm/s","34.5379"
"Average Velocity","Any = ForcepTipToForcep","mm/s","70.1199"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.09945702919009045	-0.06225324617560745"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","201881"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","157258"
"Path Inefficiency","Any = DriverTipToDriver","%","816.453"
"Path Inefficiency","Any = ForcepTipToForcep","%","3621.97"
"Rotational Actions","Any = DriverTipToDriver","count","10"
"Rotational Actions","Any = ForcepTipToForcep","count","31"
"Rotation Total","Any = DriverTipToDriver","deg","2294.61"
"Rotation Total","Any = ForcepTipToForcep","deg","10705.4"
"Translational Actions","Any = DriverTipToDriver","count","16"
"Translational Actions","Any = ForcepTipToForcep","count","40"
