"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","197.06"
"Elapsed Time","Any = ForcepToReference","s","197.06"
"Path Length","Any = DriverToReference","mm","1706.4"
"Path Length","Any = ForcepToReference","mm","6061.91"
"Elapsed Time","Any = DriverTipToDriver","s","197.06"
"Path Length","Any = DriverTipToDriver","mm","2040.02"
"Elapsed Time","Any = ForcepTipToForcep","s","197.06"
"Path Length","Any = ForcepTipToForcep","mm","7493.62"
"Average Velocity","Any = DriverTipToDriver","mm/s","12.5273"
"Average Velocity","Any = ForcepTipToForcep","mm/s","45.122"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.02305541355536342	-0.03144603553004809"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","176410"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","164871"
"Path Inefficiency","Any = DriverTipToDriver","%","3352.23"
"Path Inefficiency","Any = ForcepTipToForcep","%","8436.82"
"Rotational Actions","Any = DriverTipToDriver","count","5"
"Rotational Actions","Any = ForcepTipToForcep","count","46"
"Rotation Total","Any = DriverTipToDriver","deg","1805.41"
"Rotation Total","Any = ForcepTipToForcep","deg","10529.5"
"Translational Actions","Any = DriverTipToDriver","count","10"
"Translational Actions","Any = ForcepTipToForcep","count","49"
