"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","311.568"
"Elapsed Time","Any = ForcepToReference","s","311.568"
"Path Length","Any = DriverToReference","mm","13435.8"
"Path Length","Any = ForcepToReference","mm","13590.8"
"Elapsed Time","Any = DriverTipToDriver","s","311.568"
"Path Length","Any = DriverTipToDriver","mm","16796.6"
"Elapsed Time","Any = ForcepTipToForcep","s","311.568"
"Path Length","Any = ForcepTipToForcep","mm","15483.6"
"Average Velocity","Any = DriverTipToDriver","mm/s","77.5921"
"Average Velocity","Any = ForcepTipToForcep","mm/s","63.0456"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.08842281408295481	-0.060865869811419136"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","571172"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","422768"
"Path Inefficiency","Any = DriverTipToDriver","%","3456.37"
"Path Inefficiency","Any = ForcepTipToForcep","%","10737.1"
"Rotational Actions","Any = DriverTipToDriver","count","42"
"Rotational Actions","Any = ForcepTipToForcep","count","84"
"Rotation Total","Any = DriverTipToDriver","deg","9404.09"
"Rotation Total","Any = ForcepTipToForcep","deg","17215.8"
"Translational Actions","Any = DriverTipToDriver","count","51"
"Translational Actions","Any = ForcepTipToForcep","count","103"
