"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","392.737"
"Elapsed Time","Any = ForcepToReference","s","392.737"
"Path Length","Any = DriverToReference","mm","11532.3"
"Path Length","Any = ForcepToReference","mm","19385.4"
"Elapsed Time","Any = DriverTipToDriver","s","392.737"
"Path Length","Any = DriverTipToDriver","mm","17960"
"Elapsed Time","Any = ForcepTipToForcep","s","392.737"
"Path Length","Any = ForcepTipToForcep","mm","23410.8"
"Average Velocity","Any = DriverTipToDriver","mm/s","56.0216"
"Average Velocity","Any = ForcepTipToForcep","mm/s","66.9548"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.04024429714537903	-0.07000780465342024"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","634723"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","439342"
"Path Inefficiency","Any = DriverTipToDriver","%","8736.61"
"Path Inefficiency","Any = ForcepTipToForcep","%","17691"
"Rotational Actions","Any = DriverTipToDriver","count","63"
"Rotational Actions","Any = ForcepTipToForcep","count","122"
"Rotation Total","Any = DriverTipToDriver","deg","15709.7"
"Rotation Total","Any = ForcepTipToForcep","deg","27606.4"
"Translational Actions","Any = DriverTipToDriver","count","80"
"Translational Actions","Any = ForcepTipToForcep","count","112"
