"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","427.432"
"Elapsed Time","Any = ForcepToReference","s","427.432"
"Path Length","Any = DriverToReference","mm","9994.51"
"Path Length","Any = ForcepToReference","mm","21786.8"
"Elapsed Time","Any = DriverTipToDriver","s","427.432"
"Path Length","Any = DriverTipToDriver","mm","12737.5"
"Elapsed Time","Any = ForcepTipToForcep","s","427.432"
"Path Length","Any = ForcepTipToForcep","mm","21500.4"
"Average Velocity","Any = DriverTipToDriver","mm/s","35.5196"
"Average Velocity","Any = ForcepTipToForcep","mm/s","53.7641"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.026204929986593174	-0.04543160857552973"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","521297"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","351170"
"Path Inefficiency","Any = DriverTipToDriver","%","4147.06"
"Path Inefficiency","Any = ForcepTipToForcep","%","3890.18"
"Rotational Actions","Any = DriverTipToDriver","count","37"
"Rotational Actions","Any = ForcepTipToForcep","count","100"
"Rotation Total","Any = DriverTipToDriver","deg","9126.27"
"Rotation Total","Any = ForcepTipToForcep","deg","21649.9"
"Translational Actions","Any = DriverTipToDriver","count","53"
"Translational Actions","Any = ForcepTipToForcep","count","101"
