"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","508.734"
"Elapsed Time","Any = ForcepToReference","s","508.734"
"Path Length","Any = DriverToReference","mm","7952.47"
"Path Length","Any = ForcepToReference","mm","9829.75"
"Elapsed Time","Any = DriverTipToDriver","s","508.734"
"Path Length","Any = DriverTipToDriver","mm","9583.43"
"Elapsed Time","Any = ForcepTipToForcep","s","508.734"
"Path Length","Any = ForcepTipToForcep","mm","15163.6"
"Average Velocity","Any = DriverTipToDriver","mm/s","30.9209"
"Average Velocity","Any = ForcepTipToForcep","mm/s","38.8131"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.01964484259061135	-0.03421308750946258"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","411759"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","292869"
"Path Inefficiency","Any = DriverTipToDriver","%","7011.7"
"Path Inefficiency","Any = ForcepTipToForcep","%","9010.99"
"Rotational Actions","Any = DriverTipToDriver","count","26"
"Rotational Actions","Any = ForcepTipToForcep","count","62"
"Rotation Total","Any = DriverTipToDriver","deg","5127.61"
"Rotation Total","Any = ForcepTipToForcep","deg","13999.6"
"Translational Actions","Any = DriverTipToDriver","count","31"
"Translational Actions","Any = ForcepTipToForcep","count","80"
