"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","271.29"
"Elapsed Time","Any = ForcepToReference","s","271.29"
"Path Length","Any = DriverToReference","mm","15242.7"
"Path Length","Any = ForcepToReference","mm","12130.7"
"Elapsed Time","Any = DriverTipToDriver","s","271.29"
"Path Length","Any = DriverTipToDriver","mm","19662.7"
"Elapsed Time","Any = ForcepTipToForcep","s","271.29"
"Path Length","Any = ForcepTipToForcep","mm","12341"
"Average Velocity","Any = DriverTipToDriver","mm/s","97.0855"
"Average Velocity","Any = ForcepTipToForcep","mm/s","56.3868"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.06889965103247496	-0.06888489034777273"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","603214"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","323820"
"Path Inefficiency","Any = DriverTipToDriver","%","8443.58"
"Path Inefficiency","Any = ForcepTipToForcep","%","8485.85"
"Rotational Actions","Any = DriverTipToDriver","count","57"
"Rotational Actions","Any = ForcepTipToForcep","count","45"
"Rotation Total","Any = DriverTipToDriver","deg","11135"
"Rotation Total","Any = ForcepTipToForcep","deg","13068.4"
"Translational Actions","Any = DriverTipToDriver","count","68"
"Translational Actions","Any = ForcepTipToForcep","count","65"
