"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","308.792"
"Elapsed Time","Any = ForcepToReference","s","308.792"
"Path Length","Any = DriverToReference","mm","1073.52"
"Path Length","Any = ForcepToReference","mm","8340.07"
"Elapsed Time","Any = DriverTipToDriver","s","308.792"
"Path Length","Any = DriverTipToDriver","mm","1320.9"
"Elapsed Time","Any = ForcepTipToForcep","s","308.792"
"Path Length","Any = ForcepTipToForcep","mm","8340.04"
"Average Velocity","Any = DriverTipToDriver","mm/s","18.2083"
"Average Velocity","Any = ForcepTipToForcep","mm/s","100.52"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.11799011606498318	-0.053165249215339334"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","91732.3"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","207860"
"Path Inefficiency","Any = DriverTipToDriver","%","252.898"
"Path Inefficiency","Any = ForcepTipToForcep","%","4952.41"
"Rotational Actions","Any = DriverTipToDriver","count","4"
"Rotational Actions","Any = ForcepTipToForcep","count","38"
"Rotation Total","Any = DriverTipToDriver","deg","953.382"
"Rotation Total","Any = ForcepTipToForcep","deg","7966.84"
"Translational Actions","Any = DriverTipToDriver","count","5"
"Translational Actions","Any = ForcepTipToForcep","count","23"
