"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","408.882"
"Elapsed Time","Any = ForcepToReference","s","408.882"
"Path Length","Any = DriverToReference","mm","7991.73"
"Path Length","Any = ForcepToReference","mm","7362.47"
"Elapsed Time","Any = DriverTipToDriver","s","408.882"
"Path Length","Any = DriverTipToDriver","mm","13842.5"
"Elapsed Time","Any = ForcepTipToForcep","s","408.882"
"Path Length","Any = ForcepTipToForcep","mm","7832.96"
"Average Velocity","Any = DriverTipToDriver","mm/s","63.4078"
"Average Velocity","Any = ForcepTipToForcep","mm/s","36.6657"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.06799105967396106	-0.052116020158504785"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","531119"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","318846"
"Path Inefficiency","Any = DriverTipToDriver","%","3944.01"
"Path Inefficiency","Any = ForcepTipToForcep","%","1690.25"
"Rotational Actions","Any = DriverTipToDriver","count","47"
"Rotational Actions","Any = ForcepTipToForcep","count","30"
"Rotation Total","Any = DriverTipToDriver","deg","10332.8"
"Rotation Total","Any = ForcepTipToForcep","deg","6962.56"
"Translational Actions","Any = DriverTipToDriver","count","38"
"Translational Actions","Any = ForcepTipToForcep","count","42"
