"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","466.09"
"Elapsed Time","Any = ForcepToReference","s","466.09"
"Path Length","Any = DriverToReference","mm","25606.8"
"Path Length","Any = ForcepToReference","mm","25377.5"
"Elapsed Time","Any = DriverTipToDriver","s","466.09"
"Path Length","Any = DriverTipToDriver","mm","32914"
"Elapsed Time","Any = ForcepTipToForcep","s","466.09"
"Path Length","Any = ForcepTipToForcep","mm","22959.3"
"Average Velocity","Any = DriverTipToDriver","mm/s","72.9473"
"Average Velocity","Any = ForcepTipToForcep","mm/s","51.0556"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","754517"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","392426"
"Path Inefficiency","Any = DriverTipToDriver","%","8085.71"
"Path Inefficiency","Any = ForcepTipToForcep","%","8913.12"
"Rotational Actions","Any = DriverTipToDriver","count","159"
"Rotational Actions","Any = ForcepTipToForcep","count","106"
"Rotation Total","Any = DriverTipToDriver","deg","23107.4"
"Rotation Total","Any = ForcepTipToForcep","deg","17862"
"Translational Actions","Any = DriverTipToDriver","count","163"
"Translational Actions","Any = ForcepTipToForcep","count","126"
"Bimanual Dexterity: Translational & Rotational","LeftTool = DriverTipToDriver, RightTool = ForcepTipToForcep","rho","0.06029173397012688	-0.07851657655175545"
