"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","220.591"
"Elapsed Time","Any = ForcepToReference","s","220.591"
"Path Length","Any = DriverToReference","mm","9087.65"
"Path Length","Any = ForcepToReference","mm","11017.8"
"Elapsed Time","Any = DriverTipToDriver","s","220.591"
"Path Length","Any = DriverTipToDriver","mm","11593.3"
"Elapsed Time","Any = ForcepTipToForcep","s","220.591"
"Path Length","Any = ForcepTipToForcep","mm","9776.82"
"Average Velocity","Any = DriverTipToDriver","mm/s","66.3759"
"Average Velocity","Any = ForcepTipToForcep","mm/s","49.8052"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.07598440133467023	-0.06677990434128622"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","526225"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","231720"
"Path Inefficiency","Any = DriverTipToDriver","%","4621.92"
"Path Inefficiency","Any = ForcepTipToForcep","%","7276.51"
"Rotational Actions","Any = DriverTipToDriver","count","38"
"Rotational Actions","Any = ForcepTipToForcep","count","61"
"Rotation Total","Any = DriverTipToDriver","deg","7447.29"
"Rotation Total","Any = ForcepTipToForcep","deg","10674.5"
"Translational Actions","Any = DriverTipToDriver","count","35"
"Translational Actions","Any = ForcepTipToForcep","count","61"
