"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","448.098"
"Elapsed Time","Any = ForcepToReference","s","448.098"
"Path Length","Any = DriverToReference","mm","5766.87"
"Path Length","Any = ForcepToReference","mm","9404.14"
"Elapsed Time","Any = DriverTipToDriver","s","448.098"
"Path Length","Any = DriverTipToDriver","mm","7050.8"
"Elapsed Time","Any = ForcepTipToForcep","s","448.098"
"Path Length","Any = ForcepTipToForcep","mm","15704"
"Average Velocity","Any = DriverTipToDriver","mm/s","27.1288"
"Average Velocity","Any = ForcepTipToForcep","mm/s","50.5009"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.020005957328085126	-0.037209410022249145"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","386694"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","219361"
"Path Inefficiency","Any = DriverTipToDriver","%","1609.88"
"Path Inefficiency","Any = ForcepTipToForcep","%","7297.35"
"Rotational Actions","Any = DriverTipToDriver","count","24"
"Rotational Actions","Any = ForcepTipToForcep","count","51"
"Rotation Total","Any = DriverTipToDriver","deg","4389.52"
"Rotation Total","Any = ForcepTipToForcep","deg","14488.5"
"Translational Actions","Any = DriverTipToDriver","count","27"
"Translational Actions","Any = ForcepTipToForcep","count","59"
