"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","253.538"
"Elapsed Time","Any = ForcepToReference","s","253.538"
"Path Length","Any = DriverToReference","mm","13519.7"
"Path Length","Any = ForcepToReference","mm","9148.96"
"Elapsed Time","Any = DriverTipToDriver","s","253.538"
"Path Length","Any = DriverTipToDriver","mm","17718.2"
"Elapsed Time","Any = ForcepTipToForcep","s","253.538"
"Path Length","Any = ForcepTipToForcep","mm","8114.28"
"Average Velocity","Any = DriverTipToDriver","mm/s","86.9384"
"Average Velocity","Any = ForcepTipToForcep","mm/s","32.2502"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.057425976994579596	-0.05712914033078185"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","628463"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","197859"
"Path Inefficiency","Any = DriverTipToDriver","%","7536.83"
"Path Inefficiency","Any = ForcepTipToForcep","%","4102"
"Rotational Actions","Any = DriverTipToDriver","count","49"
"Rotational Actions","Any = ForcepTipToForcep","count","44"
"Rotation Total","Any = DriverTipToDriver","deg","10114.7"
"Rotation Total","Any = ForcepTipToForcep","deg","8399.04"
"Translational Actions","Any = DriverTipToDriver","count","57"
"Translational Actions","Any = ForcepTipToForcep","count","67"
