"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","317.88"
"Elapsed Time","Any = ForcepToReference","s","317.88"
"Path Length","Any = DriverToReference","mm","11843.9"
"Path Length","Any = ForcepToReference","mm","19119.5"
"Elapsed Time","Any = DriverTipToDriver","s","317.88"
"Path Length","Any = DriverTipToDriver","mm","15658.2"
"Elapsed Time","Any = ForcepTipToForcep","s","317.88"
"Path Length","Any = ForcepTipToForcep","mm","18032.7"
"Average Velocity","Any = DriverTipToDriver","mm/s","57.3997"
"Average Velocity","Any = ForcepTipToForcep","mm/s","62.6022"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.08938066599802544	-0.06123614074435423"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","624507"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","285460"
"Path Inefficiency","Any = DriverTipToDriver","%","9293.87"
"Path Inefficiency","Any = ForcepTipToForcep","%","14307.8"
"Rotational Actions","Any = DriverTipToDriver","count","51"
"Rotational Actions","Any = ForcepTipToForcep","count","82"
"Rotation Total","Any = DriverTipToDriver","deg","11805.4"
"Rotation Total","Any = ForcepTipToForcep","deg","18608.7"
"Translational Actions","Any = DriverTipToDriver","count","73"
"Translational Actions","Any = ForcepTipToForcep","count","102"
