"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","665.455"
"Elapsed Time","Any = ForcepToReference","s","665.455"
"Path Length","Any = DriverToReference","mm","26213.7"
"Path Length","Any = ForcepToReference","mm","6546.66"
"Elapsed Time","Any = DriverTipToDriver","s","665.455"
"Path Length","Any = DriverTipToDriver","mm","37658.4"
"Elapsed Time","Any = ForcepTipToForcep","s","665.455"
"Path Length","Any = ForcepTipToForcep","mm","8788.68"
"Average Velocity","Any = DriverTipToDriver","mm/s","72.2616"
"Average Velocity","Any = ForcepTipToForcep","mm/s","16.3615"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.04502409062880283	-0.031129388485809782"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","1.29329e+06"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","418202"
"Path Inefficiency","Any = DriverTipToDriver","%","5498.98"
"Path Inefficiency","Any = ForcepTipToForcep","%","2289.58"
"Rotational Actions","Any = DriverTipToDriver","count","120"
"Rotational Actions","Any = ForcepTipToForcep","count","29"
"Rotation Total","Any = DriverTipToDriver","deg","22415.9"
"Rotation Total","Any = ForcepTipToForcep","deg","8572.39"
"Translational Actions","Any = DriverTipToDriver","count","121"
"Translational Actions","Any = ForcepTipToForcep","count","48"
