"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","417.189"
"Elapsed Time","Any = ForcepToReference","s","417.189"
"Path Length","Any = DriverToReference","mm","8782.19"
"Path Length","Any = ForcepToReference","mm","20230.6"
"Elapsed Time","Any = DriverTipToDriver","s","417.189"
"Path Length","Any = DriverTipToDriver","mm","11158.2"
"Elapsed Time","Any = ForcepTipToForcep","s","417.189"
"Path Length","Any = ForcepTipToForcep","mm","17315"
"Average Velocity","Any = DriverTipToDriver","mm/s","27.8111"
"Average Velocity","Any = ForcepTipToForcep","mm/s","41.7231"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.09090432545878527	-0.04336202503678458"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","484282"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","423135"
"Path Inefficiency","Any = DriverTipToDriver","%","3896.58"
"Path Inefficiency","Any = ForcepTipToForcep","%","17924.1"
"Rotational Actions","Any = DriverTipToDriver","count","37"
"Rotational Actions","Any = ForcepTipToForcep","count","86"
"Rotation Total","Any = DriverTipToDriver","deg","7567.86"
"Rotation Total","Any = ForcepTipToForcep","deg","23980.2"
"Translational Actions","Any = DriverTipToDriver","count","48"
"Translational Actions","Any = ForcepTipToForcep","count","86"
