"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","468.673"
"Elapsed Time","Any = ForcepToReference","s","468.673"
"Path Length","Any = DriverToReference","mm","19855.8"
"Path Length","Any = ForcepToReference","mm","14014"
"Elapsed Time","Any = DriverTipToDriver","s","468.673"
"Path Length","Any = DriverTipToDriver","mm","25304.3"
"Elapsed Time","Any = ForcepTipToForcep","s","468.673"
"Path Length","Any = ForcepTipToForcep","mm","13795.9"
"Average Velocity","Any = DriverTipToDriver","mm/s","72.5145"
"Average Velocity","Any = ForcepTipToForcep","mm/s","32.6185"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.03793191236001853	-0.04224829960275705"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","611040"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","487259"
"Path Inefficiency","Any = DriverTipToDriver","%","4904.25"
"Path Inefficiency","Any = ForcepTipToForcep","%","5523.72"
"Rotational Actions","Any = DriverTipToDriver","count","71"
"Rotational Actions","Any = ForcepTipToForcep","count","45"
"Rotation Total","Any = DriverTipToDriver","deg","12508.7"
"Rotation Total","Any = ForcepTipToForcep","deg","14369"
"Translational Actions","Any = DriverTipToDriver","count","65"
"Translational Actions","Any = ForcepTipToForcep","count","96"
