"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","380.266"
"Elapsed Time","Any = ForcepToReference","s","380.266"
"Path Length","Any = DriverToReference","mm","10214.8"
"Path Length","Any = ForcepToReference","mm","20232.7"
"Elapsed Time","Any = DriverTipToDriver","s","380.266"
"Path Length","Any = DriverTipToDriver","mm","14024"
"Elapsed Time","Any = ForcepTipToForcep","s","380.266"
"Path Length","Any = ForcepTipToForcep","mm","28170.6"
"Average Velocity","Any = DriverTipToDriver","mm/s","54.544"
"Average Velocity","Any = ForcepTipToForcep","mm/s","101.616"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.055558694636192896	-0.08315781707808498"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","553740"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","587283"
"Path Inefficiency","Any = DriverTipToDriver","%","4809.37"
"Path Inefficiency","Any = ForcepTipToForcep","%","35998.4"
"Rotational Actions","Any = DriverTipToDriver","count","64"
"Rotational Actions","Any = ForcepTipToForcep","count","108"
"Rotation Total","Any = DriverTipToDriver","deg","11349.3"
"Rotation Total","Any = ForcepTipToForcep","deg","23772.7"
"Translational Actions","Any = DriverTipToDriver","count","82"
"Translational Actions","Any = ForcepTipToForcep","count","101"
