"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","283.286"
"Elapsed Time","Any = ForcepToReference","s","283.286"
"Path Length","Any = DriverToReference","mm","5997.5"
"Path Length","Any = ForcepToReference","mm","14345"
"Elapsed Time","Any = DriverTipToDriver","s","283.286"
"Path Length","Any = DriverTipToDriver","mm","7438.21"
"Elapsed Time","Any = ForcepTipToForcep","s","283.286"
"Path Length","Any = ForcepTipToForcep","mm","13573.7"
"Average Velocity","Any = DriverTipToDriver","mm/s","29.0406"
"Average Velocity","Any = ForcepTipToForcep","mm/s","43.0818"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","-0.011640675505329259	-0.048068615590529086"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","410727"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","228542"
"Path Inefficiency","Any = DriverTipToDriver","%","3725.92"
"Path Inefficiency","Any = ForcepTipToForcep","%","11822.3"
"Rotational Actions","Any = DriverTipToDriver","count","26"
"Rotational Actions","Any = ForcepTipToForcep","count","70"
"Rotation Total","Any = DriverTipToDriver","deg","5493.52"
"Rotation Total","Any = ForcepTipToForcep","deg","19523.7"
"Translational Actions","Any = DriverTipToDriver","count","37"
"Translational Actions","Any = ForcepTipToForcep","count","80"
