"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","187.124"
"Elapsed Time","Any = ForcepToReference","s","187.124"
"Path Length","Any = DriverToReference","mm","5939.45"
"Path Length","Any = ForcepToReference","mm","7642.37"
"Elapsed Time","Any = DriverTipToDriver","s","187.124"
"Path Length","Any = DriverTipToDriver","mm","7505.42"
"Elapsed Time","Any = ForcepTipToForcep","s","187.124"
"Path Length","Any = ForcepTipToForcep","mm","7546.24"
"Average Velocity","Any = DriverTipToDriver","mm/s","98.8819"
"Average Velocity","Any = ForcepTipToForcep","mm/s","85.2434"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.12712279718636985	-0.09944629724265255"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","276113"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","256830"
"Path Inefficiency","Any = DriverTipToDriver","%","1503.2"
"Path Inefficiency","Any = ForcepTipToForcep","%","3608.55"
"Rotational Actions","Any = DriverTipToDriver","count","25"
"Rotational Actions","Any = ForcepTipToForcep","count","24"
"Rotation Total","Any = DriverTipToDriver","deg","4688.6"
"Rotation Total","Any = ForcepTipToForcep","deg","6116.75"
"Translational Actions","Any = DriverTipToDriver","count","32"
"Translational Actions","Any = ForcepTipToForcep","count","35"
