"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","512.976"
"Elapsed Time","Any = ForcepToReference","s","512.976"
"Path Length","Any = DriverToReference","mm","16956.7"
"Path Length","Any = ForcepToReference","mm","18510.7"
"Elapsed Time","Any = DriverTipToDriver","s","512.976"
"Path Length","Any = DriverTipToDriver","mm","23781.8"
"Elapsed Time","Any = ForcepTipToForcep","s","512.976"
"Path Length","Any = ForcepTipToForcep","mm","20932.3"
"Average Velocity","Any = DriverTipToDriver","mm/s","59.4182"
"Average Velocity","Any = ForcepTipToForcep","mm/s","48.3095"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.14541857845179076	-0.05002604796386103"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","610345"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","388043"
"Path Inefficiency","Any = DriverTipToDriver","%","9207.76"
"Path Inefficiency","Any = ForcepTipToForcep","%","20022"
"Rotational Actions","Any = DriverTipToDriver","count","79"
"Rotational Actions","Any = ForcepTipToForcep","count","75"
"Rotation Total","Any = DriverTipToDriver","deg","16513.2"
"Rotation Total","Any = ForcepTipToForcep","deg","19231.2"
"Translational Actions","Any = DriverTipToDriver","count","125"
"Translational Actions","Any = ForcepTipToForcep","count","106"
