"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","1083.81"
"Elapsed Time","Any = ForcepToReference","s","1083.81"
"Path Length","Any = DriverToReference","mm","28747.3"
"Path Length","Any = ForcepToReference","mm","54966.6"
"Elapsed Time","Any = DriverTipToDriver","s","1083.81"
"Path Length","Any = DriverTipToDriver","mm","40297.2"
"Elapsed Time","Any = ForcepTipToForcep","s","1083.81"
"Path Length","Any = ForcepTipToForcep","mm","57700"
"Average Velocity","Any = DriverTipToDriver","mm/s","44.6393"
"Average Velocity","Any = ForcepTipToForcep","mm/s","63.0564"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.053051295397767796	-0.059370791618339205"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","1.27636e+06"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","497326"
"Path Inefficiency","Any = DriverTipToDriver","%","11324"
"Path Inefficiency","Any = ForcepTipToForcep","%","32887.1"
"Rotational Actions","Any = DriverTipToDriver","count","153"
"Rotational Actions","Any = ForcepTipToForcep","count","226"
"Rotation Total","Any = DriverTipToDriver","deg","30259.7"
"Rotation Total","Any = ForcepTipToForcep","deg","42318.6"
"Translational Actions","Any = DriverTipToDriver","count","222"
"Translational Actions","Any = ForcepTipToForcep","count","263"
