"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","198.74"
"Elapsed Time","Any = ForcepToReference","s","198.74"
"Path Length","Any = DriverToReference","mm","5231.83"
"Path Length","Any = ForcepToReference","mm","8487.26"
"Elapsed Time","Any = DriverTipToDriver","s","198.74"
"Path Length","Any = DriverTipToDriver","mm","7817.26"
"Elapsed Time","Any = ForcepTipToForcep","s","198.74"
"Path Length","Any = ForcepTipToForcep","mm","8220.36"
"Average Velocity","Any = DriverTipToDriver","mm/s","61.0003"
"Average Velocity","Any = ForcepTipToForcep","mm/s","69.8092"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.043523766302740484	-0.08482864623834238"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","320002"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","414791"
"Path Inefficiency","Any = DriverTipToDriver","%","4638.12"
"Path Inefficiency","Any = ForcepTipToForcep","%","5635.92"
"Rotational Actions","Any = DriverTipToDriver","count","38"
"Rotational Actions","Any = ForcepTipToForcep","count","34"
"Rotation Total","Any = DriverTipToDriver","deg","6578.88"
"Rotation Total","Any = ForcepTipToForcep","deg","7615.67"
"Translational Actions","Any = DriverTipToDriver","count","40"
"Translational Actions","Any = ForcepTipToForcep","count","33"
