"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","865.2"
"Elapsed Time","Any = ForcepToReference","s","865.2"
"Path Length","Any = DriverToReference","mm","33032.5"
"Path Length","Any = ForcepToReference","mm","42025.1"
"Elapsed Time","Any = DriverTipToDriver","s","865.2"
"Path Length","Any = DriverTipToDriver","mm","45803"
"Elapsed Time","Any = ForcepTipToForcep","s","865.2"
"Path Length","Any = ForcepTipToForcep","mm","41257.9"
"Average Velocity","Any = DriverTipToDriver","mm/s","65.798"
"Average Velocity","Any = ForcepTipToForcep","mm/s","54.6096"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.10496726723984645	-0.05960358960967505"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","1.00468e+06"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","704986"
"Path Inefficiency","Any = DriverTipToDriver","%","12438.7"
"Path Inefficiency","Any = ForcepTipToForcep","%","13952.9"
"Rotational Actions","Any = DriverTipToDriver","count","160"
"Rotational Actions","Any = ForcepTipToForcep","count","182"
"Rotation Total","Any = DriverTipToDriver","deg","33014.1"
"Rotation Total","Any = ForcepTipToForcep","deg","44539.6"
"Translational Actions","Any = DriverTipToDriver","count","199"
"Translational Actions","Any = ForcepTipToForcep","count","221"
