"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","599.976"
"Elapsed Time","Any = ForcepToReference","s","599.976"
"Path Length","Any = DriverToReference","mm","22950.6"
"Path Length","Any = ForcepToReference","mm","28777.4"
"Elapsed Time","Any = DriverTipToDriver","s","599.976"
"Path Length","Any = DriverTipToDriver","mm","29615.1"
"Elapsed Time","Any = ForcepTipToForcep","s","599.976"
"Path Length","Any = ForcepTipToForcep","mm","36857.5"
"Average Velocity","Any = DriverTipToDriver","mm/s","58.2725"
"Average Velocity","Any = ForcepTipToForcep","mm/s","66.6863"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.08052952496561079	-0.06494036342659176"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","928706"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","602942"
"Path Inefficiency","Any = DriverTipToDriver","%","7789.29"
"Path Inefficiency","Any = ForcepTipToForcep","%","18574.5"
"Rotational Actions","Any = DriverTipToDriver","count","110"
"Rotational Actions","Any = ForcepTipToForcep","count","156"
"Rotation Total","Any = DriverTipToDriver","deg","20218.9"
"Rotation Total","Any = ForcepTipToForcep","deg","37031.2"
"Translational Actions","Any = DriverTipToDriver","count","134"
"Translational Actions","Any = ForcepTipToForcep","count","171"
