"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","485.58"
"Elapsed Time","Any = ForcepToReference","s","485.58"
"Path Length","Any = DriverToReference","mm","22307.5"
"Path Length","Any = ForcepToReference","mm","31019.8"
"Elapsed Time","Any = DriverTipToDriver","s","485.58"
"Path Length","Any = DriverTipToDriver","mm","29026.7"
"Elapsed Time","Any = ForcepTipToForcep","s","485.58"
"Path Length","Any = ForcepTipToForcep","mm","30872.8"
"Average Velocity","Any = DriverTipToDriver","mm/s","89.5813"
"Average Velocity","Any = ForcepTipToForcep","mm/s","80.7594"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.05812138124719054	-0.07627430186214013"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","1.01194e+06"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","713666"
"Path Inefficiency","Any = DriverTipToDriver","%","15272.1"
"Path Inefficiency","Any = ForcepTipToForcep","%","30356.2"
"Rotational Actions","Any = DriverTipToDriver","count","90"
"Rotational Actions","Any = ForcepTipToForcep","count","127"
"Rotation Total","Any = DriverTipToDriver","deg","18450.4"
"Rotation Total","Any = ForcepTipToForcep","deg","30783.8"
"Translational Actions","Any = DriverTipToDriver","count","95"
"Translational Actions","Any = ForcepTipToForcep","count","134"
