"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","861.327"
"Elapsed Time","Any = ForcepToReference","s","861.327"
"Path Length","Any = DriverToReference","mm","21845.6"
"Path Length","Any = ForcepToReference","mm","29204.3"
"Elapsed Time","Any = DriverTipToDriver","s","861.327"
"Path Length","Any = DriverTipToDriver","mm","30285"
"Elapsed Time","Any = ForcepTipToForcep","s","861.327"
"Path Length","Any = ForcepTipToForcep","mm","27537.2"
"Average Velocity","Any = DriverTipToDriver","mm/s","43.2795"
"Average Velocity","Any = ForcepTipToForcep","mm/s","34.4122"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.026446541887668745	-0.04441407166320722"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","821104"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","473003"
"Path Inefficiency","Any = DriverTipToDriver","%","5811.72"
"Path Inefficiency","Any = ForcepTipToForcep","%","21021.6"
"Rotational Actions","Any = DriverTipToDriver","count","94"
"Rotational Actions","Any = ForcepTipToForcep","count","141"
"Rotation Total","Any = DriverTipToDriver","deg","21357.4"
"Rotation Total","Any = ForcepTipToForcep","deg","34004.5"
"Translational Actions","Any = DriverTipToDriver","count","215"
"Translational Actions","Any = ForcepTipToForcep","count","171"
