"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","270.358"
"Elapsed Time","Any = ForcepToReference","s","270.358"
"Path Length","Any = DriverToReference","mm","1924.07"
"Path Length","Any = ForcepToReference","mm","8665.49"
"Elapsed Time","Any = DriverTipToDriver","s","270.358"
"Path Length","Any = DriverTipToDriver","mm","2367.38"
"Elapsed Time","Any = ForcepTipToForcep","s","270.358"
"Path Length","Any = ForcepTipToForcep","mm","12331.8"
"Average Velocity","Any = DriverTipToDriver","mm/s","12.2949"
"Average Velocity","Any = ForcepTipToForcep","mm/s","50.6429"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.04307975274228647	-0.024745797652892254"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","275859"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","374026"
"Path Inefficiency","Any = DriverTipToDriver","%","802.368"
"Path Inefficiency","Any = ForcepTipToForcep","%","16816.2"
"Rotational Actions","Any = DriverTipToDriver","count","4"
"Rotational Actions","Any = ForcepTipToForcep","count","62"
"Rotation Total","Any = DriverTipToDriver","deg","1673.73"
"Rotation Total","Any = ForcepTipToForcep","deg","15355.1"
"Translational Actions","Any = DriverTipToDriver","count","4"
"Translational Actions","Any = ForcepTipToForcep","count","77"
