"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","475.815"
"Elapsed Time","Any = ForcepToReference","s","475.815"
"Path Length","Any = DriverToReference","mm","13412.1"
"Path Length","Any = ForcepToReference","mm","17143"
"Elapsed Time","Any = DriverTipToDriver","s","475.815"
"Path Length","Any = DriverTipToDriver","mm","17744.6"
"Elapsed Time","Any = ForcepTipToForcep","s","475.815"
"Path Length","Any = ForcepTipToForcep","mm","18082.4"
"Average Velocity","Any = DriverTipToDriver","mm/s","44.5961"
"Average Velocity","Any = ForcepTipToForcep","mm/s","37.1922"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.04917612391629939	-0.04621157161757997"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","610687"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","283401"
"Path Inefficiency","Any = DriverTipToDriver","%","4120.61"
"Path Inefficiency","Any = ForcepTipToForcep","%","11888.8"
"Rotational Actions","Any = DriverTipToDriver","count","56"
"Rotational Actions","Any = ForcepTipToForcep","count","95"
"Rotation Total","Any = DriverTipToDriver","deg","10223.5"
"Rotation Total","Any = ForcepTipToForcep","deg","25268.3"
"Translational Actions","Any = DriverTipToDriver","count","63"
"Translational Actions","Any = ForcepTipToForcep","count","124"
