"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","1012.08"
"Elapsed Time","Any = ForcepToReference","s","1012.08"
"Path Length","Any = DriverToReference","mm","13214.9"
"Path Length","Any = ForcepToReference","mm","35371.1"
"Elapsed Time","Any = DriverTipToDriver","s","1012.08"
"Path Length","Any = DriverTipToDriver","mm","16446.4"
"Elapsed Time","Any = ForcepTipToForcep","s","1012.08"
"Path Length","Any = ForcepTipToForcep","mm","50461.5"
"Average Velocity","Any = DriverTipToDriver","mm/s","17.5163"
"Average Velocity","Any = ForcepTipToForcep","mm/s","51.5105"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.03347937779796547	-0.029274141510264296"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","970848"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","640775"
"Path Inefficiency","Any = DriverTipToDriver","%","5617.3"
"Path Inefficiency","Any = ForcepTipToForcep","%","49749.3"
"Rotational Actions","Any = DriverTipToDriver","count","39"
"Rotational Actions","Any = ForcepTipToForcep","count","236"
"Rotation Total","Any = DriverTipToDriver","deg","10013.9"
"Rotation Total","Any = ForcepTipToForcep","deg","65402.2"
"Translational Actions","Any = DriverTipToDriver","count","52"
"Translational Actions","Any = ForcepTipToForcep","count","271"
