"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","325.505"
"Elapsed Time","Any = ForcepToReference","s","325.505"
"Path Length","Any = DriverToReference","mm","11071.5"
"Path Length","Any = ForcepToReference","mm","15813.7"
"Elapsed Time","Any = DriverTipToDriver","s","325.505"
"Path Length","Any = DriverTipToDriver","mm","13872"
"Elapsed Time","Any = ForcepTipToForcep","s","325.505"
"Path Length","Any = ForcepTipToForcep","mm","13375.3"
"Average Velocity","Any = DriverTipToDriver","mm/s","45.4636"
"Average Velocity","Any = ForcepTipToForcep","mm/s","40.0745"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.037360795040892056	-0.05442294403998444"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","516635"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","231549"
"Path Inefficiency","Any = DriverTipToDriver","%","5599.8"
"Path Inefficiency","Any = ForcepTipToForcep","%","17743"
"Rotational Actions","Any = DriverTipToDriver","count","42"
"Rotational Actions","Any = ForcepTipToForcep","count","84"
"Rotation Total","Any = DriverTipToDriver","deg","8680.27"
"Rotation Total","Any = ForcepTipToForcep","deg","16233.5"
"Translational Actions","Any = DriverTipToDriver","count","41"
"Translational Actions","Any = ForcepTipToForcep","count","99"
