"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","418.152"
"Elapsed Time","Any = ForcepToReference","s","418.152"
"Path Length","Any = DriverToReference","mm","8399.09"
"Path Length","Any = ForcepToReference","mm","22945.1"
"Elapsed Time","Any = DriverTipToDriver","s","418.152"
"Path Length","Any = DriverTipToDriver","mm","10897.6"
"Elapsed Time","Any = ForcepTipToForcep","s","418.152"
"Path Length","Any = ForcepTipToForcep","mm","27883.9"
"Average Velocity","Any = DriverTipToDriver","mm/s","29.5415"
"Average Velocity","Any = ForcepTipToForcep","mm/s","70.8027"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.0809976127981303	-0.04607767106098765"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","406318"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","424122"
"Path Inefficiency","Any = DriverTipToDriver","%","4192.43"
"Path Inefficiency","Any = ForcepTipToForcep","%","13036.3"
"Rotational Actions","Any = DriverTipToDriver","count","36"
"Rotational Actions","Any = ForcepTipToForcep","count","91"
"Rotation Total","Any = DriverTipToDriver","deg","5302.46"
"Rotation Total","Any = ForcepTipToForcep","deg","23522.5"
"Translational Actions","Any = DriverTipToDriver","count","32"
"Translational Actions","Any = ForcepTipToForcep","count","142"
