"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","684.787"
"Elapsed Time","Any = ForcepToReference","s","684.787"
"Path Length","Any = DriverToReference","mm","32145.2"
"Path Length","Any = ForcepToReference","mm","28109.4"
"Elapsed Time","Any = DriverTipToDriver","s","684.787"
"Path Length","Any = DriverTipToDriver","mm","46682.4"
"Elapsed Time","Any = ForcepTipToForcep","s","684.787"
"Path Length","Any = ForcepTipToForcep","mm","28079.7"
"Average Velocity","Any = DriverTipToDriver","mm/s","77.1987"
"Average Velocity","Any = ForcepTipToForcep","mm/s","45.7688"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","884957"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","796346"
"Path Inefficiency","Any = DriverTipToDriver","%","19768.2"
"Path Inefficiency","Any = ForcepTipToForcep","%","8436.23"
"Rotational Actions","Any = DriverTipToDriver","count","183"
"Rotational Actions","Any = ForcepTipToForcep","count","92"
"Rotation Total","Any = DriverTipToDriver","deg","36785"
"Rotation Total","Any = ForcepTipToForcep","deg","22222.8"
"Translational Actions","Any = DriverTipToDriver","count","185"
"Translational Actions","Any = ForcepTipToForcep","count","163"
"Bimanual Dexterity: Translational & Rotational","LeftTool = DriverTipToDriver, RightTool = ForcepTipToForcep","rho","0.126902932012403	-0.062413420766025914"
