"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","456.255"
"Elapsed Time","Any = ForcepToReference","s","456.255"
"Path Length","Any = DriverToReference","mm","14271.5"
"Path Length","Any = ForcepToReference","mm","22467.8"
"Elapsed Time","Any = DriverTipToDriver","s","456.255"
"Path Length","Any = DriverTipToDriver","mm","18535.1"
"Elapsed Time","Any = ForcepTipToForcep","s","456.255"
"Path Length","Any = ForcepTipToForcep","mm","25246.6"
"Average Velocity","Any = DriverTipToDriver","mm/s","51.4897"
"Average Velocity","Any = ForcepTipToForcep","mm/s","63.2482"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.06984068515915039	-0.05448212888340905"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","811670"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","276669"
"Path Inefficiency","Any = DriverTipToDriver","%","7600.14"
"Path Inefficiency","Any = ForcepTipToForcep","%","13742.7"
"Rotational Actions","Any = DriverTipToDriver","count","51"
"Rotational Actions","Any = ForcepTipToForcep","count","118"
"Rotation Total","Any = DriverTipToDriver","deg","12022.4"
"Rotation Total","Any = ForcepTipToForcep","deg","23388.4"
"Translational Actions","Any = DriverTipToDriver","count","80"
"Translational Actions","Any = ForcepTipToForcep","count","151"
