"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","202.853"
"Elapsed Time","Any = ForcepToReference","s","202.853"
"Path Length","Any = DriverToReference","mm","943.977"
"Path Length","Any = ForcepToReference","mm","8949.52"
"Elapsed Time","Any = DriverTipToDriver","s","202.853"
"Path Length","Any = DriverTipToDriver","mm","1829.59"
"Elapsed Time","Any = ForcepTipToForcep","s","202.853"
"Path Length","Any = ForcepTipToForcep","mm","11869.4"
"Average Velocity","Any = DriverTipToDriver","mm/s","8.75099"
"Average Velocity","Any = ForcepTipToForcep","mm/s","60.0088"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.0742122883579223	-0.0315100778908207"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","189170"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","301833"
"Path Inefficiency","Any = DriverTipToDriver","%","640.848"
"Path Inefficiency","Any = ForcepTipToForcep","%","24893"
"Rotational Actions","Any = DriverTipToDriver","count","6"
"Rotational Actions","Any = ForcepTipToForcep","count","64"
"Rotation Total","Any = DriverTipToDriver","deg","1738.77"
"Rotation Total","Any = ForcepTipToForcep","deg","13657.9"
"Translational Actions","Any = DriverTipToDriver","count","7"
"Translational Actions","Any = ForcepTipToForcep","count","63"
