"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","332.544"
"Elapsed Time","Any = ForcepToReference","s","332.544"
"Path Length","Any = DriverToReference","mm","7287.77"
"Path Length","Any = ForcepToReference","mm","10126.3"
"Elapsed Time","Any = DriverTipToDriver","s","332.544"
"Path Length","Any = DriverTipToDriver","mm","13644.9"
"Elapsed Time","Any = ForcepTipToForcep","s","332.544"
"Path Length","Any = ForcepTipToForcep","mm","11824.6"
"Average Velocity","Any = DriverTipToDriver","mm/s","54.5722"
"Average Velocity","Any = ForcepTipToForcep","mm/s","41.2423"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.09638928613574961	-0.04365665910297051"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","596718"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","456757"
"Path Inefficiency","Any = DriverTipToDriver","%","7843.31"
"Path Inefficiency","Any = ForcepTipToForcep","%","2269.89"
"Rotational Actions","Any = DriverTipToDriver","count","59"
"Rotational Actions","Any = ForcepTipToForcep","count","43"
"Rotation Total","Any = DriverTipToDriver","deg","9769.04"
"Rotation Total","Any = ForcepTipToForcep","deg","10424"
"Translational Actions","Any = DriverTipToDriver","count","61"
"Translational Actions","Any = ForcepTipToForcep","count","58"
