"MetricName","MetricRoles","MetricUnit","MetricValue"
"Elapsed Time","Any = DriverToReference","s","840.312"
"Elapsed Time","Any = ForcepToReference","s","840.312"
"Path Length","Any = DriverToReference","mm","35375.9"
"Path Length","Any = ForcepToReference","mm","42217.2"
"Elapsed Time","Any = DriverTipToDriver","s","840.312"
"Path Length","Any = DriverTipToDriver","mm","48130"
"Elapsed Time","Any = ForcepTipToForcep","s","840.312"
"Path Length","Any = ForcepTipToForcep","mm","44496.1"
"Average Velocity","Any = DriverTipToDriver","mm/s","63.9805"
"Average Velocity","Any = ForcepTipToForcep","mm/s","54.8663"
"Bimanual Dexterity: Translational & Rotational","LeftTool = ForcepTipToForcep, RightTool = DriverTipToDriver","rho","0.06212784701572212	-0.059539412753949764"
"Motion Smoothness","Any = DriverTipToDriver","mm/s^3","1.11255e+06"
"Motion Smoothness","Any = ForcepTipToForcep","mm/s^3","806207"
"Path Inefficiency","Any = DriverTipToDriver","%","10419.6"
"Path Inefficiency","Any = ForcepTipToForcep","%","31958.5"
"Rotational Actions","Any = DriverTipToDriver","count","158"
"Rotational Actions","Any = ForcepTipToForcep","count","193"
"Rotation Total","Any = DriverTipToDriver","deg","34215.5"
"Rotation Total","Any = ForcepTipToForcep","deg","46008"
"Translational Actions","Any = DriverTipToDriver","count","178"
"Translational Actions","Any = ForcepTipToForcep","count","206"
